bill,rep,vote
1419,MCCLINTON,yay
1419,MCNEILL,yay
1419,"MILLER, D.",yay
1419,MULLERY,yay
1419,NEILSON,yay
1419,O'BRIEN,yay
1419,PASHINSKI,yay
1419,PETRARCA,yay
1419,RABB,yay
1419,RAVENSTAHL,yay
1419,READSHAW,yay
1419,ROEBUCK,yay
1419,ROZZI,yay
1419,SAINATO,yay
1419,SAMUELSON,yay
1419,SCHLOSSBERG,yay
1419,SCHWEYER,yay
1419,SIMS,yay
1419,SNYDER,yay
1419,SOLOMON,yay
1419,STURLA,yay
1419,VAZQUEZ,yay
1419,WARREN,yay
1419,WHEATLEY,yay
1419,YOUNGBLOOD,yay
1419,TURZAI,yay
1419,"MILLER, B.",nay
1419,TALLMAN,nay
27,BAKER,yay
27,BARRAR,yay
27,BENNINGHOFF,yay
27,BERNSTINE,yay
27,BLOOM,yay
27,BOBACK,yay
27,"BROWN, R.",yay
27,CAUSER,yay
27,CHARLTON,yay
27,CHRISTIANA,yay
27,COOK,yay
27,CORBIN,yay
27,CORR,yay
27,COX,yay
27,CULVER,yay
27,CUTLER,yay
27,DAY,yay
27,DELOZIER,yay
27,DIGIROLAMO,yay
27,DOWLING,yay
27,DUNBAR,yay
27,DUSH,yay
27,ELLIS,yay
27,EMRICK,yay
27,ENGLISH,yay
27,EVANKOVICH,yay
27,EVERETT,yay
27,FARRY,yay
27,FEE,yay
27,FRITZ,yay
27,GABLER,yay
27,GILLEN,yay
27,GILLESPIE,yay
27,GODSHALL,yay
27,GREINER,yay
27,GROVE,yay
27,HAHN,yay
27,HARPER,yay
27,"HARRIS, A.",yay
27,HEFFLEY,yay
27,HELM,yay
27,HENNESSEY,yay
27,HICKERNELL,yay
27,HILL,yay
27,IRVIN,yay
27,JAMES,yay
27,JOZWIAK,yay
27,KAMPF,yay
27,KAUFER,yay
27,KAUFFMAN,yay
27,KEEFER,yay
27,"KELLER, F.",yay
27,"KELLER, M.K.",yay
27,KLUNK,yay
27,KNOWLES,yay
27,LAWRENCE,yay
27,LEWIS,yay
27,MACKENZIE,yay
27,MAKO,yay
27,MALONEY,yay
27,MARSHALL,yay
27,MARSICO,yay
27,MASSER,yay
27,MCGINNIS,yay
27,MEHAFFIE,yay
27,MENTZER,yay
27,METCALFE,yay
27,METZGAR,yay
27,MICCARELLI,yay
27,MILLARD,yay
27,"MILLER, B.",yay
27,MILNE,yay
27,MOUL,yay
27,MURT,yay
27,MUSTIO,yay
27,NELSON,yay
27,NESBIT,yay
27,O'NEILL,yay
27,OBERLANDER,yay
27,ORTITAY,yay
27,PEIFER,yay
27,PETRI,yay
27,PICKETT,yay
27,PYLE,yay
27,QUIGLEY,yay
27,"QUINN, C.",yay
27,"QUINN, M.",yay
27,RADER,yay
27,RAPP,yay
27,REED,yay
27,REESE,yay
27,ROAE,yay
27,ROE,yay
27,ROTHMAN,yay
27,RYAN,yay
27,SACCONE,yay
27,SANKEY,yay
27,SANTORA,yay
27,SAYLOR,yay
27,SCHEMEL,yay
27,SIMMONS,yay
27,SONNEY,yay
27,STAATS,yay
27,STEPHENS,yay
27,TALLMAN,yay
27,TAYLOR,yay
27,TOBASH,yay
27,TOEPEL,yay
27,TOOHIL,yay
27,TOPPER,yay
27,WALSH,yay
27,WARD,yay
27,WARNER,yay
27,WENTLING,yay
27,WHEELAND,yay
27,WHITE,yay
27,ZIMMERMAN,yay
27,BARBIN,yay
27,BIZZARRO,yay
27,BOYLE,yay
27,BURNS,yay
27,COMITTA,yay
27,CONKLIN,yay
27,"COSTA, D.",yay
27,"COSTA, P.",yay
27,CRUZ,yay
27,DAVIS,yay
27,DEASY,yay
27,DELUCA,yay
27,DONATUCCI,yay
27,DRISCOLL,yay
27,FLYNN,yay
27,GALLOWAY,yay
27,GOODMAN,yay
27,HAGGERTY,yay
27,HANNA,yay
27,HARKINS,yay
27,"KELLER, W.",yay
27,KORTZ,yay
27,KRUEGER,yay
27,KULIK,yay
27,LONGIETTI,yay
27,MARKOSEK,yay
27,MATZIE,yay
27,"MILLER, D.",yay
27,MULLERY,yay
27,NEILSON,yay
27,NEUMAN,yay
27,PETRARCA,yay
27,RAVENSTAHL,yay
27,READSHAW,yay
27,SAINATO,yay
27,SCHWEYER,yay
27,SNYDER,yay
27,SOLOMON,yay
27,WARREN,yay
27,TURZAI,yay
27,DIAMOND,nay
27,MAHER,nay
27,BRADFORD,nay
27,BRIGGS,nay
27,"BROWN, V.",nay
27,BULLOCK,nay
27,CALTAGIRONE,nay
27,CARROLL,nay
27,CEPHAS,nay
27,DALEY,nay
27,DAVIDSON,nay
27,DAWKINS,nay
27,DEAN,nay
27,DELISSIO,nay
27,DERMODY,nay
27,EVANS,nay
27,FITZGERALD,nay
27,FRANKEL,nay
27,FREEMAN,nay
27,GAINEY,nay
27,"HARRIS, J.",nay
27,KIM,nay
27,KINSEY,nay
27,KIRKLAND,nay
27,MADDEN,nay
27,MCCARTER,nay
27,MCCLINTON,nay
27,MCNEILL,nay
27,O'BRIEN,nay
27,PASHINSKI,nay
27,RABB,nay
27,ROEBUCK,nay
27,ROZZI,nay
27,SAMUELSON,nay
27,SCHLOSSBERG,nay
27,SIMS,nay
27,STURLA,nay
27,THOMAS,nay
27,VITALI,nay
110,BAKER,yay
